(9, 1)
(10, 1)
(10, 0)
(11, 0)
(12, 0)
(12, 1)
(13, 1)
(13, 0)
(14, 0)
(15, 0)
(15, 1)
(15, 2)
(15, 3)
(15, 4)
(15, 5)
(14, 5)
(14, 6)
(14, 7)
(15, 7)
(15, 8)
(15, 9)
(15, 10)
(16, 10)
(16, 11)
(15, 11)
(14, 11)
(13, 11)
(13, 12)
(13, 13)
(13, 14)
(14, 14)
(15, 14)
(15, 15)
(15, 16)
(16, 16)
(16, 17)
(17, 17)
(17, 18)
(17, 19)
(17, 20)
(16, 20)
(15, 20)
(15, 21)
(15, 22)
(14, 22)
(13, 22)
(13, 23)
(13, 24)
(13, 25)
(13, 26)
(12, 26)
(11, 26)
(11, 25)
(10, 25)
(9, 25)
(8, 25)
(8, 26)
(8, 27)
(7, 27)
(6, 27)
