(38, 0)
(37, 0)
(36, 0)
(36, 1)
(36, 2)
(36, 3)
(35, 3)
(35, 4)
(34, 4)
(33, 4)
(33, 3)
(32, 3)
(31, 3)
(30, 3)
(29, 3)
(28, 3)
(27, 3)
(26, 3)
(26, 4)
(26, 5)
(25, 5)
(24, 5)
(24, 6)
(23, 6)
(22, 6)
(22, 7)
(22, 8)
(21, 8)
(20, 8)
(20, 9)
(19, 9)
(19, 10)
(20, 10)
(20, 11)
(19, 11)
(18, 11)
(18, 12)
(18, 13)
(17, 13)
(16, 13)
(15, 13)
(15, 14)
(14, 14)
(13, 14)
(13, 13)
(13, 12)
(13, 11)
(12, 11)
(11, 11)
(11, 10)
(10, 10)
(9, 10)
(9, 11)
(8, 11)
(7, 11)
(7, 12)
(7, 13)
(6, 13)
(6, 12)
(5, 12)
(4, 12)
(3, 12)
(3, 13)
(3, 14)
(4, 14)
(4, 15)
(3, 15)
(2, 15)
(2, 16)
(2, 17)
(3, 17)
(4, 17)
(4, 18)
(5, 18)
(5, 19)
(5, 20)
(5, 21)
(5, 22)
(5, 23)
(6, 23)
(6, 24)
(7, 24)
(8, 24)
(9, 24)
(9, 25)
(10, 25)
(11, 25)
(12, 25)
(13, 25)
(13, 24)
(14, 24)
(15, 24)
(16, 24)
(17, 24)
(18, 24)
(18, 25)
(18, 26)
(18, 27)
(17, 27)
(17, 28)
(17, 29)
(17, 30)
(18, 30)
(19, 30)
(20, 30)
(20, 31)
(20, 32)
(20, 33)
(20, 34)
(20, 35)
(21, 35)
(22, 35)
(23, 35)
(23, 36)
(24, 36)
(24, 37)
(23, 37)
(23, 38)
(23, 39)
(23, 40)
(23, 41)
(24, 41)
(25, 41)
(25, 42)
(24, 42)
(23, 42)
(23, 43)
(24, 43)
(25, 43)
(25, 44)
(24, 44)
(23, 44)
(22, 44)
(21, 44)
(21, 43)
(20, 43)
(19, 43)
(18, 43)
(18, 42)
(18, 41)
(17, 41)
(16, 41)
(16, 40)
(17, 40)
(17, 39)
(16, 39)
(15, 39)
(14, 39)
(14, 40)
(14, 41)
(13, 41)
(13, 42)
(13, 43)
(13, 44)
(13, 45)
(14, 45)
(15, 45)
(15, 46)
(14, 46)
(14, 47)
(15, 47)
(16, 47)
(17, 47)
(18, 47)
(19, 47)
(19, 46)
(20, 46)
(20, 47)
(20, 48)
(20, 49)
(20, 50)
(20, 51)
(20, 52)
(19, 52)
(19, 53)
(18, 53)
(17, 53)
(17, 54)
(16, 54)
(15, 54)
(15, 55)
(15, 56)
(16, 56)
(16, 57)
(15, 57)
(15, 58)
(14, 58)
(14, 59)
(14, 60)
(13, 60)
(13, 61)
(13, 62)
(14, 62)
(14, 63)
(15, 63)
(15, 64)
(16, 64)
(16, 65)
(16, 66)
(16, 67)
(16, 68)
(15, 68)
(14, 68)
(13, 68)
(13, 67)
(12, 67)
(12, 68)
(11, 68)
(11, 69)
(11, 70)
(11, 71)
(10, 71)
(9, 71)
(9, 72)
(9, 73)
(8, 73)
(7, 73)
(7, 72)
(6, 72)
(6, 73)
(6, 74)
(5, 74)
(4, 74)
(3, 74)
