(755, 1)
(755, 2)
(755, 3)
(756, 3)
(756, 4)
(756, 5)
(755, 5)
(754, 5)
(754, 6)
(753, 6)
(753, 7)
(753, 8)
(754, 8)
(754, 9)
(754, 10)
(753, 10)
(752, 10)
(751, 10)
(750, 10)
(750, 9)
(749, 9)
(749, 8)
(748, 8)
(747, 8)
(746, 8)
(746, 9)
(746, 10)
(746, 11)
(747, 11)
(747, 12)
(747, 13)
(748, 13)
(748, 14)
(748, 15)
(747, 15)
(746, 15)
(746, 16)
(745, 16)
(745, 15)
(744, 15)
(744, 16)
(743, 16)
(742, 16)
(742, 17)
(742, 18)
(741, 18)
(740, 18)
(739, 18)
(739, 19)
(739, 20)
(739, 21)
(740, 21)
(741, 21)
(741, 22)
(740, 22)
(740, 23)
(740, 24)
(741, 24)
(742, 24)
(742, 25)
(743, 25)
(743, 26)
(743, 27)
(742, 27)
(741, 27)
(741, 28)
(742, 28)
(743, 28)
(744, 28)
(745, 28)
(746, 28)
(746, 29)
(746, 30)
(747, 30)
(747, 29)
(748, 29)
(749, 29)
(749, 28)
(748, 28)
(748, 27)
(749, 27)
(749, 26)
(748, 26)
(748, 25)
(748, 24)
(749, 24)
(749, 23)
(749, 22)
(749, 21)
(749, 20)
(750, 20)
(750, 19)
(750, 18)
(750, 17)
(751, 17)
(752, 17)
(752, 18)
(752, 19)
(753, 19)
(753, 18)
(753, 17)
(754, 17)
(754, 18)
(755, 18)
(756, 18)
(756, 19)
(757, 19)
(757, 20)
(758, 20)
(759, 20)
(760, 20)
(761, 20)
(761, 21)
(760, 21)
(760, 22)
(761, 22)
(761, 23)
(761, 24)
(760, 24)
(760, 25)
(761, 25)
(761, 26)
(762, 26)
(763, 26)
(763, 25)
(764, 25)
(765, 25)
(765, 26)
(764, 26)
(764, 27)
(765, 27)
(766, 27)
(766, 28)
(766, 29)
(767, 29)
(768, 29)
(769, 29)
(770, 29)
(771, 29)
(771, 30)
(770, 30)
(770, 31)
(769, 31)
(768, 31)
(767, 31)
(767, 32)
(766, 32)
(766, 33)
(765, 33)
(765, 34)
(764, 34)
(763, 34)
(763, 35)
(762, 35)
(762, 34)
(761, 34)
(760, 34)
(760, 33)
(759, 33)
(759, 34)
(759, 35)
(759, 36)
(758, 36)
(758, 37)
(758, 38)
(757, 38)
(756, 38)
(755, 38)
(754, 38)
(753, 38)
(752, 38)
(751, 38)
(750, 38)
(749, 38)
(749, 39)
(748, 39)
(747, 39)
(747, 40)
(747, 41)
(748, 41)
(748, 42)
(749, 42)
(750, 42)
(750, 43)
(749, 43)
(749, 44)
(749, 45)
(750, 45)
(750, 46)
(751, 46)
(752, 46)
(753, 46)
(753, 47)
(753, 48)
(754, 48)
(754, 49)
(754, 50)
(753, 50)
(752, 50)
(752, 49)
(751, 49)
(751, 50)
(750, 50)
(750, 51)
(750, 52)
(749, 52)
(749, 53)
(750, 53)
(751, 53)
(751, 54)
(751, 55)
(751, 56)
(750, 56)
(749, 56)
(748, 56)
(748, 57)
(747, 57)
(746, 57)
(746, 58)
(746, 59)
(745, 59)
(744, 59)
(744, 60)
(743, 60)
(742, 60)
